EmployeeID,First_Name,Surname,StreetAddress,Age,Office,Office_Type,Notes,Start_Date,Termination_Date,Active_Status_corrige
100001,Patrice,Moore,1427 Buckhannan Avenue,35,NYC,Corporate,Changes for 2021.06:  ,2009-05-04,2100-12-12,1
100002,David,Rickards,4265 Graystone Lakes,49,NYC,Corporate,Changes for 2021.06:  ,2009-05-04,2100-12-12,1
100003,Grace,Maldonado,1680 Hudson Street,32,NYC,Corporate,Changes for 2021.06:  ,2009-05-18,2013-06-05,0
100004,Justin,Edgin,1262 Limer Street,25,Boulder,Corporate,Changes for 2021.06:  ,2009-06-22,2013-10-16,0
100005,Benjamin,Vargas,2431 Rainbow Road,49,NYC,Corporate,Changes for 2021.06:  ,2009-07-13,2011-01-10,0
100006,Nelson,Grillo,3645 Coolidge Street,28,NYC,Corporate,Changes for 2021.06:  Termed,2009-07-20,2021-09-11,0
100007,Kevin,Rainey,977 Black Oak Hollow Road,31,NYC,Corporate,Changes for 2021.06:  ,2009-07-20,2011-02-11,0
100008,Melanie,Hurst,2751 Holden Street,38,NYC,Corporate,Changes for 2021.06:  ,2009-07-27,2012-03-21,0
100009,Greg,Boon,4791 Loving Acres Road,29,NYC,Corporate,Changes for 2021.06:  ,2009-07-27,2100-12-12,1
100010,Frank,Stockdale,1413 Roy Alley,31,NYC,Corporate,Changes for 2021.06:  ,2009-07-27,2014-05-13,0
100011,David,Fox,3186 Davis Lane,43,NYC,Corporate,Changes for 2021.06:  ,2009-09-21,2012-12-14,0
100012,Roger,Jordan,3823 Heather Sees Way,29,NYC,Corporate,Changes for 2021.06:  ,2009-09-21,2013-10-17,0
100013,Edward,Burkhart,1185 Pointe Lane,37,NYC,Corporate,Changes for 2021.06:  ,2009-09-28,2012-10-31,0
100014,Jacqueline,Hernandez,1676 Hidden Meadow Drive,23,NYC,Corporate,Changes for 2021.06:  ,2009-09-28,2100-12-12,1
100015,James,Adams,2762 Kennedy Court,44,NYC,Corporate,Changes for 2021.06:  ,2009-10-05,2011-03-11,0
100016,Michael,Conner,4149 Ventura Drive,37,NYC,Corporate,Changes for 2021.06:  ,2009-10-05,2019-11-06,0
100017,Denise,Matthew,4201 Deer Haven Drive,53,NYC,Corporate,Changes for 2021.06:  ,2009-10-12,2012-05-30,0
100018,Virginia,Ferguson,3024 Traders Alley,28,NYC,Corporate,Changes for 2021.06:  ,2009-10-12,2100-12-12,1
100019,Louis,Powell,328 Monroe Street,46,NYC,Corporate,Changes for 2021.06:  ,2009-10-19,2013-02-18,0
100020,Douglas,Mason,1510 Wood Street,46,NYC,Corporate,Changes for 2021.06:  ,2009-10-19,2100-12-12,1
