"First_Name";"Surname";"Montant_Total_Compensation";"department_id";"Office_Type"
"Isaac";"Hewitt";"97,75000050663948";"d001";"Corporate"
"Gordon";"Strickler";"97,75000050663948";"d001";"Corporate"
"Caroline";"Thompson";"92,00000047683716";"d001";"Corporate"
"Evelyn";"Christian";"80,50000041723251";"d001";"Corporate"
"John";"Robinson";"92,00000047683716";"d001";"Corporate"
"Eric";"Groves";"63,250000327825546";"d001";"Corporate"
"Marissa";"Gates";"63,250000327825546";"d001";"Corporate"
"Ronald";"Wingo";"86,25000044703484";"d001";"Corporate"
"Elizabeth";"Whitaker";"97,75000050663948";"d001";"Corporate"
"Kristen";"Morales";"80,50000041723251";"d001";"Corporate"
"Gary";"Smith";"192,00000047683716";"d001";"Corporate"
"Mark";"Miller";"82,50000011175871";"d001";"Corporate"
"Diana";"Duncan";"80,50000041723251";"d001";"Corporate"
"Heidi";"Messinger";"63,250000327825546";"d001";"Corporate"
"Craig";"Becker";"92,00000047683716";"d001";"Corporate"
"Shuumon";"Utsumi";"97,75000050663948";"d001";"Corporate"
"Marie";"Benavides";"192,00000047683716";"d001";"Corporate"
"Donna";"Holman";"80,50000041723251";"d001";"Corporate"
"Melvin";"Chamberlain";"63,250000327825546";"d001";"Corporate"
"Lester";"Prill";"0";"d001";"Corporate"
"James";"Baker";"63,250000327825546";"d001";"Corporate"
"Roland";"Fortunato";"80,50000041723251";"d001";"Corporate"
"Earl";"Kelley";"80,50000041723251";"d001";"Corporate"
"Jane";"Williams";"82,50000011175871";"d001";"Corporate"
"Caitlin";"Blackburn";"102,00000025331974";"d001";"Corporate"
"Cheyenne";"Buford";"97,75000050663948";"d001";"Corporate"
"Inez";"Harris";"80,50000041723251";"d001";"Corporate"
"Tasha";"Patel";"80,50000041723251";"d001";"Corporate"
"Christina";"Clary";"63,250000327825546";"d001";"Corporate"
"Rodney";"Kerwin";"97,75000050663948";"d001";"Corporate"
"Gabriel";"Sherman";"156,0000003874302";"d001";"Corporate"
"Patricia";"Rivera";"82,50000011175871";"d001";"Corporate"
"Jason";"Daigle";"97,75000050663948";"d001";"Corporate"
"Jeffrey";"Stephenson";"168,0000004172325";"d001";"Corporate"
"Leland";"Salcido";"0";"d001";"Corporate"
"Dana";"Binder";"192,00000047683716";"d001";"Corporate"
"Melissa";"Lindsey";"0";"d001";"Corporate"
"Gracie";"Bibi";"97,75000050663948";"d001";"Corporate"
"Lily";"Law";"80,50000041723251";"d001";"Corporate"
"Mary";"Waite";"144,00000035762787";"d001";"Corporate"
"Jacob";"Stephens";"132,00000017881393";"d001";"Corporate"
"Louise";"Montanez";"292,500002682209";"d001";"Corporate"
"Willie";"Jordan";"80,50000041723251";"d001";"Corporate"
"Agustin";"Macon";"144,00000035762787";"d001";"Corporate"
"Jeffery";"Bolen";"63,250000327825546";"d001";"Corporate"
"Fred";"Ruby";"210,00000052154064";"d001";"Corporate"
"Bailey";"Bradley";"57,500000298023224";"d001";"Corporate"
"Andrea";"Funderburk";"0";"d001";"Corporate"
"Joyce";"Kirby";"102,00000025331974";"d001";"Corporate"
"Alfred";"Young";"97,75000050663948";"d001";"Corporate"
"Ora";"Smith";"80,50000041723251";"d001";"Corporate"
"Alicia";"Washington";"0";"d001";"Corporate"
"Colton";"Pearson";"138,00000071525574";"d001";"Corporate"
"Tracy";"Mccoll";"92,00000047683716";"d001";"Corporate"
"Wanda";"Skinner";"92,00000047683716";"d001";"Corporate"
"Arturo";"Obrien";"57,500000298023224";"d001";"Corporate"
"Ellan";"Flores";"168,0000004172325";"d001";"Corporate"
"Aaron";"Peacock";"92,00000047683716";"d001";"Corporate"
"Larry";"Skinner";"80,50000041723251";"d001";"Corporate"
"Jimmy";"Johnson";"97,75000050663948";"d001";"Corporate"
"Donna";"Drake";"97,75000050663948";"d001";"Corporate"
"Mary";"Mader";"63,250000327825546";"d001";"Corporate"
"Maria";"Williams";"82,50000011175871";"d001";"Corporate"
"Grace";"Maldonado";"86,25000044703484";"d001";"Corporate"
"Phillip";"Aviles";"80,50000041723251";"d001";"Corporate"
"Hal";"Hogans";"97,75000050663948";"d001";"Corporate"
"Jennifer";"Smith";"144,00000035762787";"d001";"Corporate"
"Alice";"Dallas";"82,50000011175871";"d001";"Corporate"
"Jack";"Leach";"92,00000047683716";"d001";"Corporate"
"Anthony";"Mahan";"82,50000011175871";"d001";"Corporate"
"Bryan";"Baldwin";"80,50000041723251";"d001";"Corporate"
"Carlton";"Morales";"97,75000050663948";"d001";"Corporate"
